=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.04.02 12:40:08 =~=~=~=~=~=~=~=~=~=~=~=
Beginning Test Setup/Calibration
44.48, 48.65
44.48, 48.65
44.48, 50.26
44.48, 51.10
44.49, 51.10
44.49, 49.88
44.49, 49.24
44.50, 49.24
44.50, 49.24
44.50, 48.48
44.50, 48.48
44.50, 48.48
44.51, 50.84
44.51, 52.26
44.51, 52.26
44.52, 51.68
44.52, 51.68
44.53, 51.68
44.53, 50.44
44.53, 48.25
44.53, 46.67
44.53, 46.67
44.53, 48.87
44.54, 50.04
44.54, 50.04
44.54, 50.04
44.55, 50.04
44.55, 50.04
44.55, 49.25
44.55, 47.78
44.55, 46.73
44.55, 46.73
44.56, 47.37
44.56, 47.37
44.56, 48.18
44.56, 49.13
44.56, 49.81
44.57, 49.81
44.57, 49.81
44.57, 48.76
44.57, 48.76
44.58, 48.76
44.58, 48.76
44.58, 48.76
44.58, 48.76
44.58, 48.76
44.59, 48.76
44.59, 48.76
44.59, 48.76
44.59, 49.34
44.60, 49.34
44.60, 49.34
44.60, 49.34
44.60, 49.34
44.60, 49.34
44.61, 49.34
44.61, 48.32
44.61, 47.74
44.61, 47.74
44.61, 48.36
44.62, 48.36
44.62, 48.36
44.62, 48.36
44.62, 48.36
44.62, 48.36
44.62, 48.36
44.63, 48.36
44.63, 48.36
44.63, 48.36
44.63, 48.36
44.63, 48.36
44.64, 48.36
44.64, 48.36
44.64, 48.36
44.64, 48.36
44.64, 48.36
44.65, 49.20
44.65, 49.82
44.65, 49.82
44.65, 48.91
44.66, 48.91
44.66, 48.40
44.66, 48.40
44.66, 48.40
44.66, 48.40
44.66, 48.92
44.67, 48.92
44.67, 48.92
44.67, 48.92
44.67, 47.90
44.67, 47.17
44.68, 47.17
44.68, 47.17
44.68, 47.17
44.68, 47.17
44.68, 48.00
44.68, 48.99
44.69, 49.69
44.69, 49.69
44.69, 48.88
44.69, 48.88
44.69, 48.88
44.70, 57.16
44.72, 77.78
44.74, 92.37
44.76, 85.15
44.77, 62.48
44.77, 46.94
44.77, 45.38
44.77, 47.34
44.77, 48.11
44.78, 48.11
44.78, 48.11
44.78, 47.21
44.78, 47.21
44.78, 47.21
44.78, 49.37
44.79, 50.58
44.79, 49.95
44.79, 48.01
44.79, 46.68
44.79, 46.68
44.79, 46.68
44.79, 45.16
44.79, 44.29
44.79, 45.27
44.80, 47.97
44.80, 49.85
44.80, 49.85
44.80, 48.66
44.80, 47.99
44.81, 47.99
44.81, 47.99
44.81, 46.58
44.81, 45.81
44.81, 46.38
44.81, 48.04
44.81, 49.20
44.82, 49.20
44.82, 47.59
44.82, 46.74
44.82, 46.74
44.82, 46.74
44.82, 46.74
44.82, 47.30
44.82, 47.30
44.82, 48.51
44.83, 49.12
44.83, 49.12
44.83, 49.12
44.83, 48.46
44.83, 48.46
44.84, 50.79
44.84, 56.26
44.85, 60.12
44.86, 58.52
44.86, 53.25
44.86, 49.66
44.87, 48.91
44.87, 48.91
44.87, 47.94
44.87, 47.94
44.87, 47.94
44.87, 46.62
44.87, 45.96
44.88, 46.49
44.88, 48.00
44.88, 49.06
44.88, 49.06
44.88, 47.25
44.88, 46.31
44.88, 46.31
44.89, 53.43
44.90, 70.18
44.92, 82.00
44.94, 76.67
44.94, 59.57
44.94, 47.87
44.94, 46.70
44.95, 48.16
44.95, 48.73
44.95, 48.73
44.95, 48.73
44.95, 48.09
44.96, 48.09
44.96, 48.09
44.96, 48.09
44.96, 48.82
44.96, 48.82
44.96, 48.82
44.97, 49.35
44.97, 49.35
44.97, 49.35
44.97, 47.99
44.97, 47.16
44.97, 47.16
44.98, 48.85
44.98, 49.73
44.98, 49.73
44.98, 49.73
44.99, 49.73
44.99, 49.15
44.99, 49.15
44.99, 50.52
45.00, 51.20
45.00, 51.20
45.00, 50.58
45.00, 50.58
45.01, 50.58
45.01, 49.94
45.01, 49.15
45.01, 48.58
45.02, 48.58
45.02, 49.95
45.02, 50.66
45.02, 50.66
45.03, 50.66
45.03, 49.98
45.03, 49.98
45.03, 49.46
45.04, 48.21
45.04, 47.30
45.04, 47.30
45.04, 48.59
45.04, 49.28
45.04, 49.28
45.05, 49.28
45.05, 49.28
45.05, 49.28
45.05, 49.28
45.05, 48.59
45.06, 48.02
45.06, 48.02
45.06, 48.82
45.06, 48.82
45.06, 48.82
45.06, 49.44
45.07, 49.95
45.07, 49.95
45.07, 49.95
45.07, 49.95
45.08, 49.95
45.08, 49.13
45.08, 49.13
45.08, 49.65
45.09, 49.65
45.09, 49.65
45.09, 50.37
45.09, 50.37
45.10, 50.37
45.10, 50.37
45.10, 49.22
45.10, 48.55
45.10, 48.55
45.11, 48.55
45.11, 49.08
45.11, 49.08
45.11, 49.08
45.11, 49.08
45.12, 49.08
45.12, 49.08
45.12, 49.08
45.12, 49.65
45.12, 49.65
45.13, 50.87
